"","A","B","C"
"256",1,0,0
"257",1,1,1
"258",0,0,0
"259",1,1,1
"260",1,1,1
"261",1,1,1
"262",1,0,1
"263",1,1,1
"264",1,0,1
"265",1,1,1
"266",1,1,1
"267",0,1,1
"268",0,1,1
"269",1,1,1
"270",1,1,1
"271",0,1,1
"272",1,0,1
"273",0,0,1
"274",1,1,1
"275",1,1,1
"276",1,1,1
"277",1,1,1
"278",1,1,1
"279",1,1,1
"280",1,0,1
"281",1,0,1
"282",1,1,1
"283",0,0,1
"284",0,1,1
"285",1,0,0
"286",1,0,1
"287",1,1,1
"288",1,1,1
"289",0,0,0
"290",1,1,1
"291",0,1,1
"292",1,1,1
"293",1,1,1
"294",0,0,0
"295",0,0,0
"296",1,0,1
"297",0,1,1
"298",1,1,1
"299",1,1,1
"300",1,1,1
"301",0,1,1
"302",1,1,1
"303",0,0,0
"304",1,1,1
"305",1,1,1
"306",0,1,1
"307",1,1,1
"308",0,1,1
"309",1,1,1
"310",1,1,1
"311",1,1,1
"312",1,1,1
"313",0,0,0
"314",1,1,1
"315",1,1,1
"316",0,1,0
"317",0,1,1
"318",1,1,1
"319",1,0,1
"320",1,1,1
"321",1,0,1
"322",0,0,0
"323",1,1,1
"324",0,1,1
"325",1,0,0
"326",1,0,0
"327",1,1,1
"328",1,1,1
"329",1,1,1
"330",1,1,1
"331",1,1,1
"332",1,1,1
"333",1,0,1
"334",1,1,1
"335",0,1,1
"336",0,0,0
"337",1,0,1
"338",1,1,1
"339",1,0,1
"340",0,0,0
"341",1,1,1
"342",0,0,0
"343",1,1,1
"344",1,1,1
"345",1,1,1
"346",0,1,1
"347",0,0,0
"348",1,1,1
"349",1,0,0
"350",0,1,1
"351",1,0,1
"352",0,1,1
"353",1,1,1
"354",0,0,0
"355",0,1,1
"356",0,1,0
"357",0,1,1
"358",1,1,1
"359",0,0,0
"360",1,1,1
"361",1,1,1
"362",1,1,1
"363",1,1,1
"364",1,1,1
"365",0,0,0
"366",0,1,0
"367",0,1,1
"368",1,1,1
"369",1,0,1
"370",0,0,0
"371",1,1,1
"372",1,1,1
"373",1,1,1
"374",1,1,1
"375",1,1,1
"376",1,1,1
"377",0,1,1
"378",1,0,1
"379",1,1,1
"380",1,0,1
"381",1,0,1
"382",1,0,1
"383",0,0,1
"384",1,1,1
"385",0,0,1
"386",1,1,1
"387",1,0,1
"388",0,0,0
"389",1,1,1
"390",1,1,1
"391",1,0,1
"392",1,0,1
"393",0,0,0
"394",0,1,0
"395",1,1,1
"396",0,1,0
"397",1,1,1
"398",1,0,0
"399",1,1,1
"400",1,1,1
"401",1,0,1
"402",0,1,1
"403",0,0,1
"404",1,0,1
"405",1,1,1
"406",0,0,0
"407",0,0,0
"408",0,0,0
"409",1,1,1
"410",1,1,1
"411",1,1,1
"412",1,1,1
"413",0,1,1
"414",1,1,1
"415",1,0,0
"416",1,1,1
"417",1,0,1
"418",1,1,1
"419",0,1,1
"420",0,1,0
"421",0,1,1
"422",1,1,1
"423",1,1,1
"424",0,0,1
"425",0,1,1
"426",1,1,1
"427",0,0,0
"428",1,1,1
"429",0,0,0
"430",1,1,1
"431",0,1,1
"432",1,1,1
"433",0,1,1
"434",0,1,1
"435",0,0,0
"436",1,1,1
"437",1,1,1
"438",0,0,0
"439",1,1,1
"440",1,0,1
"441",0,1,1
"442",1,1,1
"443",0,0,0
"444",1,1,1
"445",1,1,1
"446",1,1,1
"447",1,1,1
"448",0,0,0
"449",1,1,1
"450",0,1,0
"451",1,1,1
"452",1,1,1
"453",1,1,1
"454",1,1,1
"455",0,0,0
"456",1,1,1
"457",1,1,1
"458",1,1,1
"459",1,0,1
"460",0,0,0
"461",0,1,1
"462",1,1,1
"463",1,1,1
"464",0,1,1
"465",0,0,0
"466",1,1,1
"467",1,0,1
"468",1,1,1
"469",0,0,0
"470",0,1,0
"471",0,0,0
"472",1,0,1
"473",0,1,1
"474",1,1,1
"475",1,1,1
"476",1,0,1
"477",1,1,1
"478",1,1,1
"479",1,1,1
"480",0,1,1
"481",0,1,0
"482",0,1,0
"483",0,0,0
"484",1,1,1
"485",0,0,0
"486",1,0,1
"487",1,1,1
"488",0,1,0
"489",1,1,1
"490",0,1,0
"491",1,1,1
"492",1,1,1
"493",1,1,1
"494",1,1,1
"495",1,1,1
"496",1,1,1
"497",1,0,1
"498",1,1,1
"499",0,0,0
"500",0,0,0
"501",0,0,0
"502",0,0,0
"503",1,1,1
"504",1,1,1
"505",0,0,0
"506",0,0,0
"507",1,0,1
"508",0,0,0
"509",0,0,0
"510",1,0,1
"511",0,0,0
"512",0,0,0
"513",1,1,1
"514",1,1,1
"515",1,1,1
"516",1,1,1
"517",1,1,1
"518",0,1,1
"519",1,1,1
"520",1,0,1
"521",1,0,1
"522",1,0,1
"523",1,1,1
"524",1,1,1
"525",0,1,0
"526",1,1,1
"527",0,0,0
"528",1,1,1
"529",1,1,1
"530",1,1,1
"531",1,0,1
"532",0,0,0
"533",1,1,1
"534",1,1,0
"535",0,0,0
"536",0,1,1
"537",1,1,1
"538",1,1,1
"539",0,0,0
"540",0,1,1
"541",0,0,0
"542",1,1,1
"543",0,0,1
"544",0,0,0
"545",0,1,1
"546",0,1,1
"547",1,0,1
"548",1,1,1
"549",1,1,1
"550",0,0,0
"551",1,0,1
"552",1,1,1
"553",0,1,1
"554",1,1,1
"555",0,1,1
"556",1,1,1
"557",0,1,1
"558",1,1,1
"559",1,0,1
"560",0,1,1
"561",1,0,1
"562",0,1,1
"563",1,1,1
"564",0,0,0
"565",1,0,1
"566",1,1,1
"567",1,0,1
"568",1,1,1
"569",1,0,1
"570",1,0,0
"571",1,0,1
"572",0,1,0
"573",1,0,1
"574",1,0,1
"575",1,1,1
"576",1,1,1
"577",0,1,0
"578",0,1,1
"579",0,0,0
"580",1,1,1
"581",1,1,1
"582",1,1,1
"583",1,1,1
"584",1,1,1
"585",1,1,0
"586",0,1,1
"587",1,1,0
"588",1,0,1
"589",1,0,1
"590",1,1,1
"591",1,1,1
"592",0,1,1
"593",1,1,1
"594",1,1,1
"595",1,1,1
"596",1,0,0
"597",1,1,1
"598",0,0,0
"599",0,1,0
"600",0,0,0
"601",0,0,0
"602",1,0,1
"603",1,1,1
"604",1,0,1
"605",1,1,1
"606",1,0,1
"607",1,1,1
"608",1,0,1
"609",0,0,0
"610",1,1,1
"611",1,1,1
"612",1,1,1
"613",1,1,1
"614",0,0,0
"615",1,1,1
"616",1,1,1
"617",0,1,1
"618",1,0,0
"619",0,1,1
"620",0,0,0
"621",0,0,0
"622",1,1,1
"623",1,0,1
"624",1,1,1
"625",1,1,1
"626",1,1,1
"627",1,1,1
"628",1,1,1
"629",0,0,0
"630",0,0,0
"631",1,1,1
"632",1,1,1
"633",1,1,1
"634",1,1,1
"635",1,1,1
"636",1,0,1
"637",1,0,1
"638",0,0,0
"639",0,0,0
"640",1,1,1
"641",0,1,1
"642",1,0,1
"643",1,1,1
"644",1,1,1
"645",1,0,0
"646",0,0,0
"647",1,1,1
"648",1,0,1
"649",1,1,1
"650",0,1,1
"651",0,1,0
"652",0,1,0
"653",1,1,1
"654",0,0,0
"655",0,0,0
"656",1,1,1
"657",1,1,1
"658",0,0,0
"659",1,1,1
"660",1,1,1
"661",1,1,1
"662",1,1,1
"663",0,0,0
"664",1,1,1
"665",1,1,1
"666",0,1,0
"667",1,1,1
"668",1,1,1
"669",1,1,1
"670",1,1,1
"671",1,1,1
"672",1,1,1
"673",1,1,1
"674",0,1,1
"675",0,1,1
"676",1,0,1
"677",1,0,1
"678",1,1,1
"679",0,1,0
"680",1,1,1
"681",1,1,1
"682",1,0,1
"683",0,0,0
"684",1,1,1
"685",0,1,1
"686",1,1,1
"687",1,1,1
"688",0,0,0
"689",1,0,1
"690",0,1,1
"691",0,0,0
"692",0,0,0
"693",1,1,1
"694",1,0,1
"695",1,1,1
"696",0,1,1
"697",1,0,0
"698",0,0,0
"699",1,1,1
"700",1,0,0
"701",0,0,0
"702",1,1,1
"703",1,1,1
"704",1,1,1
"705",0,1,1
"706",1,1,1
"707",0,1,1
"708",1,1,1
"709",1,1,1
"710",1,1,1
"711",1,1,1
"712",1,1,1
"713",1,1,1
"714",0,0,0
"715",1,1,1
"716",0,1,1
"717",1,0,0
"718",1,0,1
"719",1,1,1
"720",1,1,1
"721",1,1,1
"722",1,1,1
"723",1,1,0
"724",1,1,1
"725",0,1,1
"726",1,1,1
"727",1,1,0
"728",1,1,1
"729",1,1,1
"730",1,0,1
"731",1,1,1
"732",1,1,1
"733",0,1,0
"734",0,0,0
"735",0,0,0
"736",1,1,1
"737",1,1,1
"738",1,1,1
"739",1,1,1
"740",0,0,1
"741",0,0,0
"742",1,0,1
"743",1,0,1
"744",1,1,1
"745",1,1,1
"746",1,1,1
"747",1,1,1
"748",1,1,1
"749",1,1,1
"750",0,0,0
"751",0,0,0
"752",1,1,1
"753",0,0,0
"754",0,0,0
"755",0,0,0
"756",1,1,1
"757",1,0,1
"758",1,1,1
"759",0,0,0
"760",0,0,0
"761",1,1,1
"762",1,0,0
"763",1,0,1
"764",0,1,0
"765",0,1,0
"766",1,1,1
"767",1,1,1
"768",0,0,0
"769",1,0,1
"770",0,0,1
"771",1,1,1
"772",0,1,1
"773",0,0,0
"774",1,0,1
"775",0,1,0
"776",0,0,0
"777",0,1,1
"778",1,1,1
"779",1,1,1
"780",0,1,1
"781",1,1,1
"782",0,1,0
"783",1,0,0
"784",0,0,0
"785",0,0,0
"786",1,1,1
"787",0,0,1
"788",1,0,1
"789",1,0,0
"790",1,1,1
"791",1,1,1
"792",0,1,1
"793",0,0,0
"794",1,1,1
"795",0,1,0
"796",1,1,1
"797",1,1,0
"798",1,1,1
"799",1,1,1
"800",1,1,1
"801",0,0,0
"802",0,0,0
"803",0,0,0
"804",1,1,1
"805",1,1,1
"806",1,1,1
"807",0,1,0
"808",1,0,1
"809",0,1,0
"810",1,1,1
"811",1,1,1
"812",1,1,1
"813",1,0,1
"814",0,0,0
"815",1,1,1
"816",1,1,1
"817",0,0,0
"818",0,0,1
"819",1,0,1
"820",1,0,1
"821",0,0,0
"822",1,1,1
"823",1,0,1
"824",1,1,1
"825",0,0,0
"826",1,1,1
"827",0,1,1
"828",1,1,1
"829",1,1,1
"830",1,1,1
"831",1,1,1
"832",0,1,1
"833",1,1,1
"834",1,1,1
"835",1,1,1
"836",1,1,1
"837",1,1,1
"838",0,0,1
"839",0,1,1
"840",0,1,1
"841",0,0,0
"842",1,1,1
"843",0,0,0
"844",1,1,1
"845",1,1,1
"846",1,1,1
"847",0,0,0
"848",1,1,1
"849",1,0,1
"850",1,0,1
"851",0,0,0
"852",1,0,0
"853",1,0,1
"854",0,0,0
"855",0,1,1
"856",0,1,1
"857",0,1,1
"858",1,1,1
"859",0,0,0
"860",0,1,1
"861",0,0,0
"862",0,0,0
"863",0,1,1
"864",1,1,1
"865",1,1,1
"866",0,1,1
"867",0,1,0
"868",1,1,1
"869",1,1,1
"870",1,1,1
"871",0,1,0
"872",0,0,0
"873",1,1,1
"874",1,1,1
"875",1,1,1
"876",1,1,1
"877",1,1,1
"878",1,1,1
"879",1,0,1
"880",1,1,1
"881",1,0,1
"882",1,1,1
"883",1,1,1
"884",0,1,1
"885",1,1,1
"886",0,1,1
"887",1,1,1
"888",1,1,1
"889",1,1,1
"890",0,0,0
"891",1,1,1
"892",1,1,1
"893",0,0,0
"894",0,1,1
"895",1,1,1
"896",0,0,0
"897",1,1,1
"898",0,1,1
"899",0,0,0
"900",0,1,0
"901",1,1,1
"902",1,1,1
"903",0,0,0
"904",0,1,1
"905",1,1,1
"906",1,1,1
"907",1,1,1
"908",1,0,0
"909",0,1,0
"910",1,1,1
"911",1,1,1
"912",1,1,1
"913",0,1,1
"914",1,1,1
"915",0,0,0
"916",1,0,1
"917",1,1,1
"918",1,1,1
"919",1,1,1
"920",1,0,0
"921",0,1,1
"922",1,1,1
"923",0,0,0
"924",1,1,1
"925",1,1,1
"926",0,1,1
"927",0,1,0
"928",1,0,1
"929",1,1,1
"930",0,0,0
"931",1,1,1
"932",1,1,1
"933",1,1,1
"934",1,1,1
"935",0,1,1
"936",1,1,1
"937",1,1,1
"938",1,0,1
"939",1,1,1
"940",1,1,1
"941",1,1,1
"942",0,1,1
"943",1,1,1
"944",0,1,1
"945",0,1,1
"946",0,0,0
"947",0,1,1
"948",0,0,0
"949",1,1,1
"950",1,0,1
"951",0,1,0
"952",0,1,1
"953",1,1,1
"954",1,1,1
"955",1,1,1
"956",1,1,1
"957",0,0,0
"958",0,0,0
"959",0,1,1
"960",0,1,1
"961",1,1,1
"962",1,0,1
"963",1,1,1
"964",1,1,0
"965",0,1,0
"966",1,1,1
"967",0,1,0
"968",1,1,1
"969",0,0,0
"970",1,1,1
"971",0,1,1
"972",0,0,0
"973",0,0,0
"974",0,0,0
"975",1,1,1
"976",1,1,1
"977",1,1,1
"978",0,0,1
"979",0,1,0
"980",1,1,1
"981",0,1,1
"982",1,0,1
"983",0,0,1
"984",1,1,1
"985",1,1,1
"986",1,1,1
"987",0,1,1
"988",1,1,1
"989",1,1,1
"990",0,0,0
"991",1,1,1
"992",1,1,1
"993",0,1,1
"994",0,1,1
"995",1,1,1
"996",0,0,0
"997",1,0,1
"998",0,1,0
"999",0,1,1
"1000",1,0,0
"1001",1,1,1
"1002",1,1,1
"1003",1,0,1
"1004",0,0,0
"1005",1,1,1
"1006",1,0,0
"1007",0,1,0
"1008",0,1,0
"1009",1,1,1
"1010",0,0,0
"1011",1,1,1
"1012",1,1,1
"1013",1,1,1
"1014",0,1,1
"1015",0,1,0
"1016",1,1,1
"1017",1,0,1
"1018",0,0,0
"1019",1,1,1
"1020",0,1,1
"1021",1,0,1
"1022",1,1,1
"1023",0,0,1
"1024",0,0,0
"1025",1,1,1
"1026",0,1,1
"1027",1,1,1
"1028",1,0,1
"1029",0,0,0
"1030",1,1,1
"1031",1,1,1
"1032",0,0,0
"1033",1,1,1
"1034",1,1,1
"1035",0,1,0
"1036",0,0,0
"1037",0,1,1
"1038",1,0,1
"1039",0,1,0
"1040",1,0,1
"1041",1,1,1
"1042",1,1,1
"1043",1,1,1
"1044",1,1,1
"1045",1,0,1
"1046",1,0,1
"1047",1,1,1
"1048",1,1,1
"1049",0,0,0
"1050",1,1,1
"1051",0,0,1
"1052",0,1,1
"1053",0,1,1
"1054",0,0,0
"1055",1,1,1
"1056",0,1,0
"1057",1,0,1
"1058",0,0,1
"1059",1,1,1
"1060",1,0,1
"1061",1,1,1
"1062",1,0,0
"1063",0,0,0
"1064",1,0,1
"1065",0,1,1
"1066",1,0,1
"1067",0,0,0
"1068",1,0,1
"1069",0,1,1
"1070",0,1,1
"1071",1,1,1
"1072",1,0,1
"1073",0,1,1
"1074",1,1,1
"1075",0,0,0
"1076",0,0,0
"1077",1,0,0
"1078",1,0,1
"1079",0,0,0
"1080",0,0,0
"1081",0,0,0
"1082",1,1,1
"1083",0,0,0
"1084",1,1,1
"1085",1,1,1
"1086",0,0,0
"1087",1,0,1
"1088",1,0,0
"1089",0,1,1
"1090",1,1,1
"1091",0,0,0
"1092",1,1,1
"1093",0,0,1
"1094",1,1,0
"1095",1,1,1
"1096",1,1,1
"1097",1,1,1
"1098",0,1,1
"1099",0,1,1
"1100",0,1,1
"1101",1,1,1
"1102",0,1,1
"1103",1,0,1
"1104",0,1,1
"1105",0,0,0
"1106",0,1,1
"1107",1,1,1
"1108",1,0,0
"1109",1,0,1
"1110",1,1,1
"1111",1,1,1
"1112",1,1,1
"1113",0,0,0
"1114",1,1,1
"1115",0,1,1
"1116",0,0,0
"1117",1,0,0
"1118",1,1,1
"1119",1,0,0
"1120",1,1,1
"1121",0,0,0
"1122",1,1,1
"1123",1,1,1
"1124",1,1,1
"1125",1,0,1
"1126",1,1,1
"1127",0,1,1
"1128",1,1,1
"1129",1,1,1
"1130",0,1,1
"1131",1,0,1
"1132",1,1,1
"1133",0,0,0
"1134",1,1,1
"1135",1,0,1
"1136",1,0,1
"1137",1,1,1
"1138",1,1,1
"1139",1,1,1
"1140",1,0,1
"1141",1,1,1
"1142",0,0,1
"1143",1,0,1
"1144",0,1,1
"1145",0,1,1
"1146",0,0,0
"1147",0,1,1
"1148",1,1,1
"1149",1,1,1
"1150",1,1,1
"1151",0,0,0
"1152",1,1,1
"1153",1,0,1
"1154",1,1,0
"1155",0,0,0
"1156",0,1,1
"1157",1,1,1
"1158",1,0,0
"1159",0,1,1
"1160",1,1,1
"1161",1,1,1
"1162",1,0,1
"1163",1,1,1
"1164",1,0,1
"1165",1,1,1
"1166",0,0,0
"1167",1,1,1
"1168",1,1,1
"1169",1,0,0
"1170",1,0,1
"1171",0,0,0
"1172",1,1,1
"1173",0,1,1
"1174",0,0,1
"1175",1,1,1
"1176",1,1,1
"1177",0,0,0
"1178",1,0,1
"1179",0,0,0
"1180",1,1,1
"1181",0,0,0
"1182",1,0,0
"1183",1,1,1
"1184",0,0,0
"1185",1,0,1
"1186",0,0,0
"1187",1,1,1
"1188",1,0,0
"1189",0,0,0
"1190",0,0,0
"1191",1,0,0
"1192",1,1,1
"1193",0,1,1
"1194",1,1,1
"1195",1,1,1
"1196",1,0,1
"1197",1,1,1
"1198",1,1,1
"1199",1,1,1
"1200",1,1,1
"1201",1,0,0
"1202",1,0,1
"1203",0,0,0
"1204",1,1,1
"1205",1,0,0
"1206",1,1,1
"1207",1,1,1
"1208",1,1,1
"1209",1,1,1
"1210",1,1,1
"1211",0,0,0
"1212",1,1,1
"1213",1,0,0
"1214",1,1,1
"1215",0,1,1
"1216",1,1,1
"1217",0,1,1
"1218",0,1,1
"1219",1,1,1
"1220",0,0,0
"1221",1,1,1
"1222",1,0,0
"1223",1,1,1
"1224",0,1,1
"1225",1,1,1
"1226",1,1,1
"1227",1,1,1
"1228",1,1,1
"1229",0,1,1
"1230",0,0,0
"1231",1,1,1
"1232",1,0,0
"1233",1,1,1
"1234",0,0,0
"1235",1,0,1
"1236",1,1,1
"1237",1,1,1
"1238",1,1,1
"1239",1,1,1
"1240",1,0,1
"1241",0,0,0
"1242",1,1,1
"1243",1,0,1
"1244",1,1,1
"1245",1,1,0
"1246",1,1,1
"1247",1,1,1
"1248",0,1,0
"1249",1,1,1
"1250",0,0,0
"1251",0,0,0
"1252",1,1,1
"1253",1,1,1
"1254",1,1,1
"1255",0,1,1
"1256",1,1,1
"1257",0,1,1
"1258",1,1,1
"1259",0,1,0
"1260",0,0,0
"1261",0,0,1
"1262",1,1,1
"1263",1,1,1
"1264",0,1,0
"1265",1,0,1
"1266",1,0,0
"1267",0,0,0
"1268",0,0,0
"1269",1,1,1
"1270",1,1,1
"1271",1,0,1
"1272",1,1,1
"1273",0,1,1
"1274",1,1,1
"1275",0,1,1
"1276",1,0,1
"1277",1,0,1
"1278",1,1,1
"1279",1,1,1
"1280",0,0,0
"1281",1,1,1
"1282",1,1,1
"1283",1,1,1
"1284",0,1,1
"1285",1,1,1
"1286",1,1,1
"1287",0,0,0
"1288",1,1,1
"1289",0,1,1
"1290",0,0,0
"1291",0,0,0
"1292",1,1,1
"1293",1,0,0
"1294",1,0,0
"1295",1,1,1
"1296",0,0,0
"1297",1,0,1
"1298",0,0,0
"1299",1,0,1
"1300",1,1,1
"1301",1,1,1
"1302",0,0,0
"1303",0,1,0
"1304",0,1,1
"1305",1,1,1
"1306",1,1,1
"1307",0,0,0
"1308",1,1,1
"1309",0,0,0
"1310",0,0,1
"1311",1,1,1
"1312",1,1,1
"1313",1,1,1
"1314",0,0,0
"1315",0,1,1
"1316",1,0,0
"1317",0,0,0
"1318",1,1,1
"1319",0,0,0
"1320",0,0,0
"1321",1,1,1
"1322",1,1,1
"1323",0,0,0
"1324",1,0,1
"1325",0,0,0
"1326",1,1,1
"1327",1,1,1
"1328",0,1,1
"1329",1,0,1
"1330",1,0,1
"1331",0,1,1
"1332",1,1,1
"1333",0,0,0
"1334",1,0,1
"1335",1,1,1
"1336",0,0,0
"1337",0,0,0
"1338",0,0,0
"1339",1,1,1
"1340",1,1,1
"1341",1,0,1
"1342",0,0,1
"1343",1,1,1
"1344",1,1,1
"1345",0,0,0
"1346",1,1,1
"1347",1,1,1
"1348",0,0,0
"1349",1,1,1
"1350",1,1,1
"1351",1,1,1
"1352",0,0,0
"1353",0,0,0
"1354",1,1,1
"1355",0,1,1
"1356",0,0,1
"1357",1,1,1
"1358",1,0,1
"1359",1,1,1
"1360",0,0,1
"1361",1,1,1
"1362",1,1,1
"1363",1,1,1
"1364",0,0,1
"1365",0,0,0
"1366",0,0,0
"1367",0,1,0
"1368",0,1,1
"1369",0,1,1
"1370",0,1,0
"1371",1,1,1
"1372",0,0,0
"1373",1,1,1
"1374",0,1,0
"1375",1,1,1
"1376",1,1,1
"1377",0,1,0
"1378",1,1,1
"1379",0,1,1
"1380",1,1,1
"1381",1,1,1
"1382",0,1,1
"1383",1,1,1
"1384",1,1,1
"1385",1,1,1
"1386",1,1,1
"1387",1,1,1
"1388",1,1,1
"1389",0,0,1
"1390",1,1,1
"1391",1,1,1
"1392",1,1,1
"1393",0,1,1
"1394",0,0,0
"1395",1,1,1
"1396",0,0,0
"1397",1,1,1
"1398",1,1,1
"1399",1,0,1
"1400",1,1,1
"1401",1,1,1
"1402",1,1,1
"1403",1,1,1
"1404",0,1,1
"1405",1,1,1
"1406",1,0,0
"1407",1,0,0
"1408",0,1,0
"1409",1,1,1
"1410",1,0,0
"1411",1,1,1
"1412",0,1,1
"1413",0,0,0
"1414",1,1,1
"1415",1,1,1
"1416",1,1,1
"1417",1,1,1
"1418",1,1,1
"1419",0,0,0
"1420",1,1,1
"1421",1,0,1
"1422",1,0,1
"1423",0,0,1
"1424",0,0,1
"1425",0,1,0
"1426",0,0,0
"1427",0,1,1
"1428",0,0,0
"1429",0,1,0
"1430",1,1,1
"1431",0,1,1
"1432",1,1,1
"1433",0,1,1
"1434",0,1,1
"1435",0,0,0
"1436",0,0,0
"1437",1,1,1
"1438",1,1,0
"1439",1,1,1
"1440",1,1,1
"1441",0,1,1
"1442",1,1,1
"1443",1,1,0
"1444",0,1,1
"1445",1,1,1
"1446",1,1,1
"1447",0,0,0
"1448",0,0,1
"1449",0,0,1
"1450",1,1,1
"1451",1,1,1
"1452",0,1,0
"1453",1,1,1
"1454",0,0,0
"1455",0,0,0
"1456",0,0,0
"1457",1,0,1
"1458",1,1,1
"1459",0,1,1
"1460",1,1,1
"1461",0,1,1
"1462",0,1,1
"1463",1,0,1
"1464",1,1,1
"1465",1,1,1
"1466",1,1,1
"1467",0,0,0
"1468",0,0,0
"1469",1,1,1
"1470",0,0,0
"1471",1,0,0
"1472",0,1,1
"1473",0,0,0
"1474",0,0,0
"1475",0,1,1
"1476",1,1,1
"1477",1,1,1
"1478",0,1,1
"1479",0,0,1
"1480",1,0,1
"1481",0,1,1
"1482",0,0,0
"1483",0,1,1
"1484",0,0,0
"1485",0,0,0
"1486",0,0,1
"1487",0,1,1
"1488",0,1,1
"1489",0,0,0
"1490",1,0,1
"1491",1,1,1
"1492",0,0,0
"1493",0,0,0
"1494",1,1,1
"1495",0,0,0
"1496",0,1,1
"1497",1,1,1
"1498",1,1,1
